"x";"y"
"1";5.14806043496355;"B"
"2";5.37075413297862;"B"
"3";-1.13860465213656;"A"
"4";4.30447626067325;"B"
"5";2.41745518893003;"A"
"6";1.19095949130133;"A"
"7";3.36588314641267;"B"
"8";-2.6533340276219;"A"
"9";2.56992290401831;"B"
"10";3.05064784036949;"B"
"11";0.577417762484401;"A"
"12";3.19112251652405;"A"
"13";5.34672247152776;"B"
"14";-1.44571175659075;"A"
"15";0.622928225435317;"A"
"16";5.40014522755519;"B"
"17";5.78226428385824;"B"
"18";-2.82512638345361;"A"
"19";0.749970815610141;"A"
"20";1.60332746244967;"A"
"21";5.04031387297437;"B"
"22";-2.61289832275361;"A"
"23";5.88891728920862;"B"
"24";5.46668232558295;"B"
"25";-3.17562441900373;"A"
"26";1.14211784349754;"A"
"27";-0.0979653289541602;"A"
"28";5.05738130910322;"A"
"29";0.469696281012148;"A"
"30";4.36004259996116;"B"
"31";3.37595617771149;"A"
"32";4.11055141268298;"B"
"33";-0.11891717184335;"A"
"34";2.85169729404151;"A"
"35";-3.96051661204547;"A"
"36";4.32916080253199;"B"
"37";-3.92665853118524;"A"
"38";-1.92341027176008;"A"
"39";5.06601407798007;"B"
"40";2.11778643447906;"A"
"41";-0.204407594632357;"A"
"42";0.357715849764645;"B"
"43";-3.62568967137486;"A"
"44";5.73539913771674;"B"
"45";0.317512488923967;"A"
"46";5.57576596643776;"B"
"47";4.87754905503243;"B"
"48";2.39978769468144;"A"
"49";5.70966610359028;"B"
"50";2.18838207330555;"B"
"51";-0.665727887302637;"A"
"52";-0.532517517916858;"A"
"53";-0.0151458857581019;"A"
"54";3.84692775690928;"B"
"55";-3.61063508875668;"A"
"56";3.48795386170968;"B"
"57";2.7727683018893;"B"
"58";-2.28735669609159;"A"
"59";-1.38912036176771;"A"
"60";1.14412934659049;"A"
"61";2.7560727451928;"A"
"62";5.82817197917029;"B"
"63";3.59544267551973;"B"
"64";1.66488424083218;"B"
"65";4.49689718568698;"B"
"66";-2.1052606459707;"A"
"67";-1.28713385295123;"A"
"68";4.28158485237509;"B"
"69";2.93204820388928;"B"
"70";-1.59455260355026;"A"
"71";-3.57011203980073;"A"
"72";-2.59520905883983;"A"
"73";-1.8361458494328;"A"
"74";0.79398564202711;"A"
"75";-2.02589657716453;"A"
"76";3.19355837674811;"B"
"77";-3.92115261266008;"A"
"78";-0.245100353844464;"A"
"79";1.14407708309591;"A"
"80";-3.98429445782676;"A"
"81";1.81604002509266;"A"
"82";-2.42094791820273;"A"
"83";-0.409716941416264;"A"
"84";2.45631878403947;"B"
"85";3.75823362637311;"B"
"86";1.63646841561422;"A"
"87";-1.66296601388603;"A"
"88";-3.10019483650103;"A"
"89";-3.14387935074046;"A"
"90";-0.947816305328161;"A"
"91";2.67426514672115;"B"
"92";-3.99761103419587;"A"
"93";-1.91430043056607;"A"
"94";5.33034127345309;"B"
"95";5.25644748611376;"B"
"96";3.34094301005825;"B"
"97";-0.669280165806413;"A"
"98";1.15063329832628;"B"
"99";3.43974646320567;"B"
"100";2.19159240042791;"A"
